Name,2024-06-15 01:33:00,2024-06-17 06:25:31,2024-06-18 08:36:12,2024-06-19 08:36:20,2024-06-21 16:39:39,2024-06-22 09:05:52,2024-06-23 12:13:54,2024-06-24 11:52:54,2024-06-25 10:44:11,2024-06-26 12:51:59,2024-06-27 12:32:26,2024-06-27 12:40:53,2024-06-28 12:39:38,2024-06-29 12:04:13,2024-06-30 12:44:53,2024-07-01 11:57:13
Midnight,364.0,471.0,560.0,718.0,837.0,906.0,987.0,1120.0,1142.0,1210.0,1212.0,1214.0,1264.0,1294.0,1372.0,1473.0
Trevor,371.0,475.0,573.0,733.0,836.0,903.0,1027.0,1182.0,1223.0,1284.0,1320.0,1325.0,1379.0,1410.0,1493.0,1588.0
CC,317.0,390.0,462.0,589.0,701.0,760.0,805.0,918.0,986.0,1002.0,1046.0,1046.0,1101.0,1136.0,1210.0,1257.0
Lilith,251.0,320.0,388.0,505.0,591.0,648.0,739.0,788.0,825.0,884.0,909.0,910.0,978.0,992.0,1067.0,1116.0
Raven,290.0,360.0,426.0,551.0,638.0,698.0,784.0,823.0,861.0,928.0,954.0,956.0,1001.0,1026.0,1077.0,1156.0
